scenario,trial,seed,start_x,start_y,start_z,goal_x,goal_y,goal_z,unc_mass,unc_inertia,unc_thrust,unc_yaw_coeff,time_step,time_sec,x,y,z,effective_mass_scale,effective_inertia_scale,effective_thrust_scale,effective_yaw_coeff_scale
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,0,0.0,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,24,0.1,1.4283763983586046,-0.6850829233422692,0.9198332885794894,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,48,0.2,1.4280514336111465,-0.6757797344522304,0.9775345733470068,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,72,0.3,1.4269062889285464,-0.6483284168034923,1.0272443938731601,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,96,0.4,1.4245952454163624,-0.5961828207985729,1.0692210311228016,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,120,0.5,1.4209622381682705,-0.5165625092296079,1.103982237844118,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,144,0.6,1.415975558771708,-0.4090033854377843,1.1338889870615156,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,168,0.7,1.4097441540901843,-0.2757119625921555,1.1594443054982402,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,192,0.8,1.4024470458437723,-0.12020872656487021,1.1813173910926924,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,216,0.9,1.3942973893989976,0.053303348698833034,1.2007401632632067,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,240,1.0,1.3855374826773357,0.23994979626244822,1.2171533679475177,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,264,1.1,1.37639151232656,0.4351464817082882,1.2317675511433648,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,288,1.2,1.3670773677183925,0.6343395722539078,1.2442602619815115,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,312,1.3,1.3577883548392768,0.8334214306313061,1.2547249217426937,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,336,1.4,1.34869512033974,1.0287209342502328,1.2639980371565034,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,360,1.5,1.3399419481653718,1.2170991644465208,1.2713686227415202,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,384,1.6,1.3316529166817432,1.395848950745004,1.2779203913268484,1.3473513859352455,1.0,1.0,1.0
mass_only,0,173998000,1.428385766915239,-0.6857830577333721,0.8836354349866103,1.3,2.1,1.4,1.3473513859352455,1.0,1.0,1.0,408,1.7,1.3239234417352346,1.562873643968064,1.2832858362459403,1.3473513859352455,1.0,1.0,1.0
